date,title,url,source_name,source_type,llm_score,llm_category,llm_note,keyword_matches,published_dt
2026-05-05,"<a href=""https://www.fiercepharma.com/manufacturing/cdmo-samsung-bio-estimates-102m-impact-stemming-ongoing-union-strike"" hreflang=""en"">CDMO Samsung Biologics estimates $102M impact stemming from ongoing union strike</a>",https://www.fiercepharma.com/manufacturing/cdmo-samsung-bio-estimates-102m-impact-stemming-ongoing-union-strike,Fierce Pharma,trade,5,supply_chain,Samsung Biologics reports a $102 million impact due to production adjustments caused by an ongoing union strike.,4,
2026-05-05,"<a href=""https://www.fiercepharma.com/manufacturing/amgen-channels-another-300m-us-outlay-bolstering-puerto-rico-biologics-expansion"" hreflang=""en"">Amgen channels another $300M into US outlay, bolstering Puerto Rico biologics expansion</a>",https://www.fiercepharma.com/manufacturing/amgen-channels-another-300m-us-outlay-bolstering-puerto-rico-biologics-expansion,Fierce Pharma,trade,5,capacity,Amgen is investing an additional $300 million to expand its biologics manufacturing site in Puerto Rico.,3,
2026-05-05,Riassunto: Stampare il futuro della medicina: CTIBIOTECH™ annuncia un investimento da 27 milioni di dollari per lanciare le operazioni negli Stati Uniti al SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504409173/it/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,1,2026-05-05T07:11:00+00:00
2026-05-05,Samenvatting: Printing the Future of Medicine: CTIBIOTECH™ kondigt een investering van $27 miljoen aan om de activiteiten in de V.S. te lanceren tijdens de SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504018306/nl/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,2,2026-05-05T07:10:00+00:00
2026-05-05,Die Zukunft der Medizin drucken: CTIBIOTECH™ gibt auf dem SelectUSA Investment Summit eine Investition in Höhe von 27 Millionen US-Dollar für den Start seiner US-Aktivitäten bekannt,http://www.businesswire.com/news/home/20260504571076/de/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,1,2026-05-05T07:10:00+00:00
2026-05-05,Préparer l&apos;avenir de la médecine : CTIBIOTECH™ annonce un investissement de 27 millions de dollars pour le lancement de ses activités aux États-Unis lors du sommet SelectUSA sur l&apos;investissement,http://www.businesswire.com/news/home/20260504839596/fr/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,1,2026-05-05T07:10:00+00:00
2026-05-05,Resumen: Imprimiendo el futuro de la medicina: CTIBIOTECH™ anuncia una inversión de 27 millones de dólares para iniciar sus operaciones en EE. UU. en SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504972066/es/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,1,2026-05-05T07:10:00+00:00
2026-05-05,Printing the Future of Medicine: CTIBIOTECH™ Announces $27 Million Investment to Launch U.S. Operations at the SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504107996/en/Printing-the-Future-of-Medicine-CTIBIOTECH%E2%84%A2-Announces-27-Million-Investment-to-Launch-U.S.-Operations-at-the-SelectUSA-Investment-Summit/?feedref=JjAwJuNHiystnCoBq_hl-bQQCakZDujohEJegUyaJwquReQ0P23MrIoWkrUSV24ZevRMp3sIgu8q3wq1OF24lT93qbEzrwa15HGbLqMObxbNWfZlBntHS6jpH5ROLXsTFMkl05DM8ABqeyBleEmzJA==,BusinessWire (Pharmaceutical),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,2,2026-05-04T18:00:00+00:00
2026-05-05,Riassunto: Stampare il futuro della medicina: CTIBIOTECH™ annuncia un investimento da 27 milioni di dollari per lanciare le operazioni negli Stati Uniti al SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504409173/it/?feedref=JjAwJuNHiystnCoBq_hl-WBlLQO14j4QZPTyX5CYOnwC4VjN53jumZRlnzhBoBxGrCOi9QzgjCezTS3Nw_X6kJUrpSBm-Hav1w-UkdSlG3ltkRSnqzf6ourQGu_UA28CzZCGORvG0LE20YOvo49uqw==,BusinessWire (Biotechnology),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,1,2026-05-05T07:11:00+00:00
2026-05-05,Samenvatting: Printing the Future of Medicine: CTIBIOTECH™ kondigt een investering van $27 miljoen aan om de activiteiten in de V.S. te lanceren tijdens de SelectUSA Investment Summit,http://www.businesswire.com/news/home/20260504018306/nl/?feedref=JjAwJuNHiystnCoBq_hl-WBlLQO14j4QZPTyX5CYOnwC4VjN53jumZRlnzhBoBxGrCOi9QzgjCezTS3Nw_X6kJUrpSBm-Hav1w-UkdSlG3ltkRSnqzf6ourQGu_UA28CzZCGORvG0LE20YOvo49uqw==,BusinessWire (Biotechnology),newswire,4,capacity,CTIBIOTECH is investing $27 million to establish a new contract manufacturing subsidiary in Philadelphia.,2,2026-05-05T07:10:00+00:00
